Category,Authentic engagement,Engagement avg,Engagement percentagem
Actors/actresses & Cinema,2137200000.0,2603000000.0,21.191028615622585
Music,2035800000.0,2479500000.0,20.185614849187935
Lifestyle,1232400000.0,1501000000.0,12.219644238205724
Sports with a ball,912600000.0,1111500000.0,9.048723897911833
Modeling,624000000.0,760000000.0,6.187161639597835
Shows,530400000.0,646000000.0,5.2590873936581595
Beauty,327600000.0,399000000.0,3.248259860788863
Fashion,296400000.0,361000000.0,2.9389017788089715
Happiness & Fun & Humor,265200000.0,323000000.0,2.6295436968290797
Artists & Art,265200000.0,323000000.0,2.6295436968290797
Family,195000000.0,237500000.0,1.9334880123743232
Gym & Fitness,117000000.0,142500000.0,1.160092807424594
Outfits & Clothing,101400000.0,123500000.0,1.005413766434648
Photography,93600000.0,114000000.0,0.9280742459396751
Computers,78000000.0,95000000.0,0.7733952049497294
Gadgets,78000000.0,95000000.0,0.7733952049497294
Adult content,70200000.0,85500000.0,0.6960556844547563
Sports,70200000.0,85500000.0,0.6960556844547563
Careers & Business,62400000.0,76000000.0,0.6187161639597835
Racing,62400000.0,76000000.0,0.6187161639597835
Journalism & Literature,54600000.0,66500000.0,0.5413766434648105
Motorbikes & Cars,54600000.0,66500000.0,0.5413766434648105
Technologies & Machinery,46800000.0,57000000.0,0.46403712296983757
Economics & Finance,46800000.0,57000000.0,0.46403712296983757
Luxury,31200000.0,38000000.0,0.30935808197989173
Nature  landscapes,23400000.0,28500000.0,0.23201856148491878
Toys,23400000.0,28500000.0,0.23201856148491878
Science,23400000.0,28500000.0,0.23201856148491878
Comics  sketches,23400000.0,28500000.0,0.23201856148491878
Kids,23400000.0,28500000.0,0.23201856148491878
Marketing & Management,15600000.0,19000000.0,0.15467904098994587
Outdoor activity,15600000.0,19000000.0,0.15467904098994587
Shopping,15600000.0,19000000.0,0.15467904098994587
Food,15600000.0,19000000.0,0.15467904098994587
Cooking,15600000.0,19000000.0,0.15467904098994587
Accessories,15600000.0,19000000.0,0.15467904098994587
Retail,15600000.0,19000000.0,0.15467904098994587
Travel,15600000.0,19000000.0,0.15467904098994587
Jewellery,15600000.0,19000000.0,0.15467904098994587
Extreme,15600000.0,19000000.0,0.15467904098994587
Animals,7800000.0,9500000.0,0.07733952049497293
Coaches & Trainers,7800000.0,9500000.0,0.07733952049497293
Design & DIY,7800000.0,9500000.0,0.07733952049497293
